cik,company,sic,accession,document,file_date,period_ending,items,discovery_phrase,url,lead_source,doc_chars,has_fda_context,flag_warning_letter,body_mentions_warning_letter,flag_adverse_event,body_mentions_adverse_event,flag_recall,body_mentions_recall,flag_untitled_letter,body_mentions_untitled_letter,n_flags,n_flags_incl_untitled,domain_device_hits,domain_device_lead_hits,domain_drug_hits,domain_drug_lead_hits,domain_biologic_hits,domain_biologic_lead_hits,product_domain,is_device_domain,sic_bucket,device_evidence
1389072,"HeartWare International, Inc.  (CIK 0001389072)",3841.0,0001193125-14-224699,d736322dex991.htm,2014-06-04,2014-06-04,8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/1389072/000119312514224699/d736322dex991.htm,exhibit_top,4071,True,True,True,False,False,False,False,False,False,1,1,2,0,0,0,0,0,device,True,device,text
1389072,"HeartWare International, Inc.  (CIK 0001389072)",3841.0,0001193125-14-288206,d766537d8k.htm,2014-07-31,2014-07-30,8.01,"""recall of certain""; ""voluntary recall""",https://www.sec.gov/Archives/edgar/data/1389072/000119312514288206/d766537d8k.htm,item_anchored,4539,True,False,False,False,False,True,True,False,False,1,1,1,1,0,0,0,0,device,True,device,text
937556,MASIMO CORP  (MASI)  (CIK 0000937556),3845.0,0001193125-14-310931,d776328d8k.htm,2014-08-15,2014-08-14,8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/937556/000119312514310931/d776328d8k.htm,item_anchored,5582,True,True,True,False,False,False,False,False,False,1,1,1,0,0,0,0,0,device,True,device,text
937556,MASIMO CORP  (MASI)  (CIK 0000937556),3845.0,0001193125-14-310931,d776328dex991.htm,2014-08-15,2014-08-14,8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/937556/000119312514310931/d776328dex991.htm,exhibit_top,9890,True,True,True,False,True,False,False,False,False,1,1,13,0,0,0,0,0,device,True,device,text
1245791,"GI DYNAMICS, INC.  (CIK 0001245791)",3841.0,0001193125-14-366411,d801640dex991.htm,2014-10-08,2014-10-06,2.02; 8.01; 9.01,"""product recall""",https://www.sec.gov/Archives/edgar/data/1245791/000119312514366411/d801640dex991.htm,exhibit_top,7158,True,False,False,False,False,True,True,False,False,1,1,5,1,0,0,0,0,device,True,device,text
1105184,NANOSPHERE INC  (CIK 0001105184),3841.0,0001193125-15-023553,d859550d8k.htm,2015-01-28,2015-01-22,2.02; 5.02; 8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/1105184/000119312515023553/d859550d8k.htm,item_anchored,6691,True,True,True,False,False,False,False,False,False,1,1,2,1,0,0,0,0,device,True,device,text
1105184,NANOSPHERE INC  (CIK 0001105184),3841.0,0001193125-15-023553,d859550dex991.htm,2015-01-28,2015-01-22,2.02; 5.02; 8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/1105184/000119312515023553/d859550dex991.htm,exhibit_top,7444,True,True,True,False,False,False,False,False,False,1,1,3,1,0,0,0,0,device,True,device,text
1105184,NANOSPHERE INC  (CIK 0001105184),3841.0,0001193125-15-023553,d859550dex992.htm,2015-01-28,2015-01-22,2.02; 5.02; 8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/1105184/000119312515023553/d859550dex992.htm,exhibit_top,13541,True,True,True,False,False,False,True,False,False,1,1,8,1,0,0,0,0,device,True,device,text
9892,BARD C R INC /NJ/  (CIK 0000009892),3841.0,0001193125-15-257848,d92305d8k.htm,2015-07-21,2015-07-14,8.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/9892/000119312515257848/d92305d8k.htm,item_anchored,4278,True,True,True,True,True,False,False,False,False,2,2,2,1,0,0,0,0,device,True,device,text
1093557,DEXCOM INC  (DXCM)  (CIK 0001093557),3841.0,0001193125-16-537507,d176084dex991.htm,2016-04-12,2016-04-11,8.01; 9.01,"""voluntary recall""",https://www.sec.gov/Archives/edgar/data/1093557/000119312516537507/d176084dex991.htm,exhibit_top,2739,True,False,False,False,True,True,True,False,False,1,1,1,0,0,0,0,0,device,True,device,text
