recalling_firm,n_recalls,n_fei,first_action,last_action,normalized_name
CYPRESS MEDICAL PRODUCTS,1,1,2016-10-12,2016-10-12,CYPRESS MEDICAL PRODUCTS
"Spinetronics, LLC",1,1,2011-08-11,2011-08-11,SPINETRONICS
"Spineology, Inc.",1,1,2024-09-16,2024-09-16,SPINEOLOGY
Withings Sas 2 rue Maurice Hartmann Issy les Moulineaux France,1,1,2018-06-11,2018-06-11,WITHINGS SAS 2 RUE MAURICE HARTMANN ISSY LES MOULINEAUX FRANCE
SpineMatrix Inc,1,1,2010-01-29,2010-01-29,SPINEMATRIX
"Cadence Science, Inc.",1,1,2019-05-10,2019-05-10,CADENCE SCIENCE
Witt Biomedical Corporation,1,1,2005-09-16,2005-09-16,WITT BIOMEDICAL
Spine Wave Inc Two,1,1,2010-10-22,2010-10-22,SPINE WAVE TWO
"Spine Smith Holdings, LLC",1,1,2013-07-31,2013-07-31,SPINE SMITH
Cairn Diagnostics,1,1,2021-01-08,2021-01-08,CAIRN DIAGNOSTICS
"Calyxo, Inc.",1,1,2025-02-19,2025-02-19,CALYXO
AZURE BIOTECH INC,1,1,2021-03-02,2021-03-02,AZURE BIOTECH
"Wolf, Henke Sass, Gmbh Kronenstrasse 16 Tuttlingen Germany",1,1,2023-07-27,2023-07-27,WOLF HENKE SASS KRONENSTRASSE 16 TUTTLINGEN GERMANY
Spiggle & Theis Mt Gmbh Lagerstr. 11 Dieburg Germany,1,1,2025-06-27,2025-06-27,SPIGGLE AND THEIS MT LAGERSTR 11 DIEBURG GERMANY
Spiegelberg Gmbh & Co. KG Tempowerkring 4 Hamburg Germany,1,1,2009-12-29,2009-12-29,SPIEGELBERG AND KG TEMPOWERKRING 4 HAMBURG GERMANY
"Cambridge Heart, Inc.",1,1,2010-04-29,2010-04-29,CAMBRIDGE HEART
"Spencer Technologies, Inc.",1,1,2004-02-19,2004-02-19,SPENCER TECHNOLOGIES
Canadian Hospital Specialties Ltd.,1,1,2024-06-11,2024-06-11,CANADIAN HOSPITAL SPECIALTIES
Spectrum Medical Inc,1,1,2025-01-16,2025-01-16,SPECTRUM MEDICAL
Abbott Vascular Devices,1,1,2003-07-21,2003-07-21,ABBOTT VASCULAR DEVICES
Withings 37 Bis Rue Du General Leclerc Issy les Moulineaux CEDEX France,1,1,2022-12-19,2022-12-19,WITHINGS 37 BIS RUE DU GENERAL LECLERC ISSY LES MOULINEAUX CEDEX FRANCE
Acacia Engineered Products LLC,1,1,2008-07-09,2008-07-09,ACACIA ENGINEERED PRODUCTS
"CEFLA DENTAL GROUP VIA BICOCCA 14/C IMOLA, BO Italy",1,1,2012-08-10,2012-08-10,CEFLA DENTAL VIA BICOCCA 14 C IMOLA BO ITALY
Access Scientific Inc,1,1,2013-08-16,2013-08-16,ACCESS SCIENTIFIC
Stentor Inc A Phillips Medical Systems Co.,1,1,2007-02-14,2007-02-14,STENTOR A PHILLIPS MEDICAL SYSTEMS
Stentor Inc,1,1,2005-12-20,2005-12-20,STENTOR
"CHANGZHOU BIOMET MEDICAL DEVICES CO., LTD. No. 235 Longhutangjieban Chuangxindadao Xinbei Changzhou China",1,1,2022-06-02,2022-06-02,CHANGZHOU BIOMET MEDICAL DEVICES NO 235 LONGHUTANGJIEBAN CHUANGXINDADAO XINBEI CHANGZHOU CHINA
CHENICA INC.,1,1,2013-01-18,2013-01-18,CHENICA
"Stat Medical Devices, Inc.",1,1,2009-05-29,2009-05-29,STAT MEDICAL DEVICES
"CIBA Vision Puerto Rico, Inc. El Jibaro",1,1,2011-02-01,2011-02-01,CIBA VISION PUERTO RICO EL JIBARO
Stardental Division,1,1,2006-12-01,2006-12-01,STARDENTAL DIVISION
Stanmore Implants Worldwide Ltd. Centennial Park,1,1,2017-07-04,2017-07-04,STANMORE IMPLANTS WORLDWIDE CENTENNIAL PARK
CME America LLC,1,1,2020-02-27,2020-02-27,CME AMERICA
CMR SURGICAL LIMITED 1 Evolution Business Park Milton Road; Cam Cambridge United Kingdom,1,1,2026-06-09,2026-06-09,CMR SURGICAL 1 EVOLUTION BUSINESS PARK MILTON ROAD CAM CAMBRIDGE UNITED KINGDOM
"Access Vascular, Inc.",1,1,2021-02-24,2021-02-24,ACCESS VASCULAR
Standex Intl Corp,1,1,2017-01-01,2017-01-01,STANDEX
Standard Imaging Inc.,1,1,2003-05-28,2003-05-28,STANDARD IMAGING
"Winco, Inc.",1,1,2010-09-07,2010-09-07,WINCO
"CORENTEC CO., LTD Seobuk-gu 12 Yeongsanhong 1-gil Seobuk-gu, Cheonan-si Korea (the Republic of)",1,1,2017-02-27,2017-02-27,CORENTEC SEOBUK GU 12 YEONGSANHONG 1 GIL SEOBUK GU CHEONAN SI KOREA REPUBLIC OF
"CORIN MEDICAL, LTD. Unit 1-57-8 Corinium Centre Cirencester United Kingdom",1,1,2025-05-23,2025-05-23,CORIN MEDICAL UNIT 1 57 8 CORINIUM CENTRE CIRENCESTER UNITED KINGDOM
"CPM Medical Consultants, LLC.",1,1,2025-09-17,2025-09-17,CPM MEDICAL CONSULTANTS
"St. Jude Medical, Atrial Fibrillation Division, Inc.",1,1,2023-12-18,2023-12-18,ST JUDE MEDICAL ATRIAL FIBRILLATION DIVISION
St. Jude Medical Atrial Fibrillation Division Inc,1,1,2009-06-15,2009-06-15,ST JUDE MEDICAL ATRIAL FIBRILLATION DIVISION
St. Francis Medical Technologies Inc,1,1,2006-06-06,2006-06-06,ST FRANCIS MEDICAL TECHNOLOGIES
CSL Behring GmbH Emil-Von-Behring-Str. 76 Marburg Germany,1,1,2020-03-02,2020-03-02,CSL BEHRING EMIL VON BEHRING STR 76 MARBURG GERMANY
"Cartiva, Inc",1,1,2024-10-31,2024-10-31,CARTIVA
ASPEN SURGICAL,1,1,2024-06-03,2024-06-03,ASPEN SURGICAL
"Smiths Medical ASD, Inc",1,0,2004-01-26,2004-01-26,SMITHS MEDICAL ASD
"Sakar International, Inc.",1,1,2007-11-30,2007-11-30,SAKAR
"Sagemax Bioceramics, Inc.",1,1,2025-12-11,2025-12-11,SAGEMAX BIOCERAMICS
Conavi Medical Inc.,1,1,2025-03-12,2025-03-12,CONAVI MEDICAL
"SagaTech Electronics, Inc.",1,1,2008-05-08,2008-05-08,SAGATECH ELECTRONICS
Safety Syringes Inc,1,1,2002-09-05,2002-09-05,SAFETY SYRINGES
Safety & Supplies Co. Inc.,1,1,2007-02-02,2007-02-02,SAFETY AND SUPPLIES
Zoll Manufacturing Corp.,1,1,2017-09-12,2017-09-12,ZOLL MANUFACTURING
Conmed Linvatec Endoscopy Division,1,1,2007-10-31,2007-10-31,CONMED LINVATEC ENDOSCOPY DIVISION
Safco Dental Supply Co. Inc.,1,1,2003-06-03,2003-06-03,SAFCO DENTAL SUPPLY
"Conseal International, Inc.",1,1,2018-04-25,2018-04-25,CONSEAL
3m Imtec Corporation,1,1,2010-05-14,2010-05-14,3M IMTEC
SURGICAL SPECIALTIES,1,1,2024-03-26,2024-03-26,SURGICAL SPECIALTIES
"Contec Medical Systems Co., Ltd. Economic And No.",1,1,2025-04-10,2025-04-10,CONTEC MEDICAL SYSTEMS ECONOMIC AND NO
"SUMMA THERAPEUTICS, LLC",1,1,2025-07-21,2025-07-21,SUMMA THERAPEUTICS
Contego Medical LLC,1,1,2025-09-04,2025-09-04,CONTEGO MEDICAL
Contour Fabricators Inc,1,1,2016-09-09,2016-09-09,CONTOUR FABRICATORS
STEP-HAR MEDICAL LLC,1,1,2021-02-26,2021-02-26,STEP HAR MEDICAL
STANLEY BLACK & DECKER INC.,1,1,2019-11-21,2019-11-21,STANLEY BLACK AND DECKER
SSL Americas Inc.,1,1,2002-11-25,2002-11-25,SSL AMERICAS
Contract Medical International GmbH Lauensteiner Str. 37 Dresden Germany,1,1,2025-07-30,2025-07-30,CONTRACT MEDICAL LAUENSTEINER STR 37 DRESDEN GERMANY
SRI Surgical,1,1,2008-07-16,2008-07-16,SRI SURGICAL
3M Unitek Corporation,1,1,2024-11-26,2024-11-26,3M UNITEK
A & D Enginering Inc,1,1,2016-09-12,2016-09-12,A AND D ENGINERING
Sakura Finetek USA Inc,1,1,2014-04-16,2014-04-16,SAKURA FINETEK
eSwallow USA LLC,1,1,2011-06-22,2011-06-22,ESWALLOW
"Salient Surgical Technologies, Inc",1,0,2011-07-18,2011-07-18,SALIENT SURGICAL TECHNOLOGIES
Scholly Fiberoptic Gmbh Robert-Bosch-Str. 1-3 Denzlingen Germany,1,1,2023-06-23,2023-06-23,SCHOLLY FIBEROPTIC ROBERT BOSCH STR 1 3 DENZLINGEN GERMANY
AB ULAX Merkuriusgatan 8 Motala Sweden,1,1,2020-09-04,2020-09-04,ULAX MERKURIUSGATAN 8 MOTALA SWEDEN
"College Park Industries, Inc.",1,1,2012-04-05,2012-04-05,COLLEGE PARK INDUSTRIES
AB SCIEX,1,1,2021-10-04,2021-10-04,SCIEX
Scanlan International Inc,1,1,2007-02-19,2007-02-19,SCANLAN
A.R.C. Laser Corp,1,1,2003-06-06,2003-06-06,A R C LASER
Sartorius Corporation,1,1,2022-03-11,2022-03-11,SARTORIUS
Zinnanti Surgical Design LLC,1,1,2007-07-12,2007-07-12,ZINNANTI SURGICAL DESIGN
Sarstedt Inc,1,1,2008-08-27,2008-08-27,SARSTEDT
Coltene Whaledent AG Feldwiesenstrasse 20 Altstatten Sg Switzerland,1,1,2019-07-19,2019-07-19,COLTENE WHALEDENT FELDWIESENSTRASSE 20 ALTSTATTEN SG SWITZERLAND
A-Dec Inc,1,1,2009-04-01,2009-04-01,A DEC
"Saranas, Inc.",1,1,2022-08-10,2022-08-10,SARANAS
Santanello Surgical LLC,1,1,2019-06-10,2019-06-10,SANTANELLO SURGICAL
Sanofi Genzyme,1,1,2017-12-11,2017-12-11,SANOFI GENZYME
"CompView Medical, LLC",1,1,2015-12-04,2015-12-04,COMPVIEW MEDICAL
"Companion Medical, Inc.",1,1,2022-11-08,2022-11-08,COMPANION MEDICAL
"Sammons Preston Rolyan, An Ability One Company",1,1,2005-07-13,2005-07-13,SAMMONS PRESTON ROLYAN AN ABILITY ONE
Compass Health Brands,1,1,2015-04-20,2015-04-20,COMPASS HEALTH BRANDS
Salyer Prn Biomedical,1,1,2013-01-31,2013-01-31,SALYER PRN BIOMEDICAL
Salter Labs,1,1,2014-06-25,2014-06-25,SALTER LABS
"ConBio, a CynoSure Company",1,1,2013-05-09,2013-05-09,CONBIO A CYNOSURE
"Cook Ireland Ltd. O'holloran Road, National Technological Park Limerick, Peroc Ireland",1,1,2012-01-05,2012-01-05,COOK IRELAND O HOLLORAN ROAD NATIONAL TECHNOLOGICAL PARK LIMERICK PEROC IRELAND
SONEX HEALTH LLC,1,1,2022-06-29,2022-06-29,SONEX HEALTH
Codman & Shurtleff Inc,1,1,2019-05-16,2019-05-16,CODMAN AND SHURTLEFF
"SA3, LLC",1,1,2022-02-21,2022-02-21,SA3
S.I.N. Implant System Ltda Rua Soldador Ocimar Guimaraes da Silva 421 Jardim Analia Franco Sao Paulo Brazil,1,1,2025-07-30,2025-07-30,S I N IMPLANT SYSTEM LTDA RUA SOLDADOR OCIMAR GUIMARAES DA SILVA 421 JARDIM ANALIA FRANCO SAO PAULO BRAZIL
S.A.E. AFIKIM Kibbutz Afikem Kibbutz Afikim Israel,1,1,2013-09-27,2013-09-27,S A E AFIKIM KIBBUTZ AFIKEM KIBBUTZ AFIKIM ISRAEL
"Copan Italia Via Perotti, 10 Brescia Italy",1,1,2013-08-09,2013-08-09,COPAN ITALIA VIA PEROTTI 10 BRESCIA ITALY
"S & MOHR AMERICA, S.A. DE C.V. Circuito De La Industria Poniente Lote 10 C Estado De Mexico Mexico",1,1,2023-01-05,2023-01-05,S AND MOHR AMERICA S A DE C V CIRCUITO DE LA INDUSTRIA PONIENTE LOTE 10 C ESTADO DE MEXICO MEXICO
Copan WASP Via Achille Grandi,1,1,2025-05-06,2025-05-06,COPAN WASP VIA ACHILLE GRANDI
Core Brands,1,1,2005-06-22,2005-06-22,CORE BRANDS
Rygel Advanced Machines d/b/a Omtech Laser,1,1,2024-06-07,2024-06-07,RYGEL ADVANCED MACHINES D B A OMTECH LASER
Rx Textiles Inc,1,1,2003-06-11,2003-06-11,RX TEXTILES
"Core Care Technologies, Inc",1,1,2006-10-14,2006-10-14,CORE CARE TECHNOLOGIES
Rultract Inc,1,1,2003-09-18,2003-09-18,RULTRACT
Rubicor Medical,1,1,2006-02-17,2006-02-17,RUBICOR MEDICAL
p-Chip Corporation,1,1,2021-03-03,2021-03-03,P CHIP
RoyalVibe Health Ltd.,1,1,2023-08-30,2023-08-30,ROYALVIBE HEALTH
CoreLink LLC,1,1,2022-10-20,2022-10-20,CORELINK
"superDimension, Inc",1,1,2012-06-18,2012-06-18,SUPERDIMENSION
Coreva Health Science LLC,1,1,2015-05-18,2015-05-18,COREVA HEALTH SCIENCE
"Cosman Medical, LLC",1,1,2017-07-05,2017-07-05,COSMAN MEDICAL
Roscoe Medical Inc,1,1,2014-10-01,2014-10-01,ROSCOE MEDICAL
"Romedic, Inc.",1,1,2010-04-28,2010-04-28,ROMEDIC
Roho Inc.,1,1,2017-03-20,2017-03-20,ROHO
"Rockwell Medical, Inc",1,1,2018-04-07,2018-04-07,ROCKWELL MEDICAL
mobility unlimited inc,1,1,2013-04-11,2013-04-11,MOBILITY UNLIMITED
SAFE ORTHOPAEDICS LLC,1,1,2022-06-03,2022-06-03,SAFE ORTHOPAEDICS
"SML Distribution, LLC",1,1,2022-03-04,2022-03-04,SML DISTRIBUTION
Copan Italia Via Francesco Perotti 10 Brescia Italy,1,1,2021-07-09,2021-07-09,COPAN ITALIA VIA FRANCESCO PEROTTI 10 BRESCIA ITALY
SIN SISTEMA DE IMPLANTE NACIONAL S.A Jardim Analia Franco Rua Soldador Ocimar Guimaraes da Silva,1,1,2024-09-01,2024-09-01,SIN SISTEMA DE IMPLANTE NACIONAL S A JARDIM ANALIA FRANCO RUA SOLDADOR OCIMAR GUIMARAES DA SILVA
3M Espe Dental Products,1,1,2007-02-12,2007-02-12,3M ESPE DENTAL PRODUCTS
"SIMPLIVIA HEALTHCARE LTD. NORTH IND. ZONE, (MIGADA PLANT) NORTH IND. ZONE PoBOX",1,1,2022-03-08,2022-03-08,SIMPLIVIA HEALTHCARE NORTH IND ZONE MIGADA PLANT NORTH IND ZONE POBOX
"Cook OB/Gyn, Inc.",1,0,2009-04-02,2009-04-02,COOK OB GYN
"SIEMENS MEDICAL SOLUTIONS USA, INC",1,1,2025-01-02,2025-01-02,SIEMENS MEDICAL SOLUTIONS
"SIE AG, Surgical Instrument Engineering Allmendstrasse",1,1,2018-01-21,2018-01-21,SIE SURGICAL INSTRUMENT ENGINEERING ALLMENDSTRASSE
SICAT GMBH & CO. KG Brunnenallee,1,1,2020-07-15,2020-07-15,SICAT AND KG BRUNNENALLEE
"Cook Vandergrift, Inc.",1,1,2023-07-24,2023-07-24,COOK VANDERGRIFT
SHENZHEN ATOMSTACK TECHNOLOGIES,1,1,2025-09-30,2025-09-30,SHENZHEN ATOMSTACK TECHNOLOGIES
SEPPIM SAS ZONE INDUSTRIELLE SEES France,1,1,2013-09-04,2013-09-04,SEPPIM SAS ZONE INDUSTRIELLE SEES FRANCE
SEER MEDICAL PTY LTD 278-284 Queensberry St Melbourne Australia,1,1,2024-08-12,2024-08-12,SEER MEDICAL PTY 278 284 QUEENSBERRY ST MELBOURNE AUSTRALIA
"ev3, Inc.",1,1,2016-03-29,2016-03-29,EV3
"CoolSystems, Inc.",1,1,2011-08-23,2011-08-23,COOLSYSTEMS
Cooper Vision Caribbean Corp.,1,1,2014-10-28,2014-10-28,COOPER VISION CARIBBEAN
"CooperSurgical, Inc. D.B.A. Lone Star Medical Products",1,1,2013-09-13,2013-09-13,COOPERSURGICAL D B A LONE STAR MEDICAL PRODUCTS
iwalk inc,1,1,2012-10-26,2012-10-26,IWALK
Coopervision Inc.,1,1,2011-11-15,2011-11-15,COOPERVISION
"3B Medical, Inc.
 203 Avenue A Nw Ste 300
 Winter Haven FL 33881-4540",1,1,2024-11-27,2024-11-27,3B MEDICAL 203 AVENUE A NW STE 300 WINTER HAVEN FL 33881 4540
SANTA JOY ORNAMENT & GIFTWARE CO 3rd Block Changtian Ind Hengli Town Dongguan City China,1,1,2017-11-21,2017-11-21,SANTA JOY ORNAMENT AND GIFTWARE 3RD BLOCK CHANGTIAN IND HENGLI TOWN DONGGUAN CITY CHINA
SANRAI INTERNATIONAL LLC,1,1,2018-08-29,2018-08-29,SANRAI
Copan Diagnostics Inc,1,1,2023-07-14,2023-07-14,COPAN DIAGNOSTICS
Coherent Inc Laser Group,1,1,2003-11-17,2003-11-17,COHERENT LASER
Codan Us Corporation,1,1,2011-08-17,2011-08-17,CODAN
Smith and Nephew Wound Management (La Jolla),1,1,2003-05-02,2003-05-02,SMITH AND NEPHEW WOUND MANAGEMENT LA JOLLA
Silk Road Medical Inc,1,1,2021-01-13,2021-01-13,SILK ROAD MEDICAL
Centers For Disease Control and Prevention,1,1,2024-04-26,2024-04-26,CENTERS FOR DISEASE CONTROL AND PREVENTION
Signature Orthopedics Pty Limited,1,1,2018-02-02,2018-02-02,SIGNATURE ORTHOPEDICS PTY
"Zhejiang Luyao Electronics Technology Co., Ltd. Pingyang County Wenzhou China",1,1,2025-01-17,2025-01-17,ZHEJIANG LUYAO ELECTRONICS TECHNOLOGY PINGYANG COUNTY WENZHOU CHINA
"Signature Orthopaedics Europe Ltd Unit A, IDA Business & Technology Park Garrycastle Athlone Ireland",1,1,2019-10-09,2019-10-09,SIGNATURE ORTHOPAEDICS EUROPE UNIT A IDA BUSINESS AND TECHNOLOGY PARK GARRYCASTLE ATHLONE IRELAND
Centese Inc.,1,1,2021-08-31,2021-08-31,CENTESE
Central Purchasing LLC DBA Harbor Freight Tools,1,1,2014-03-27,2014-03-27,CENTRAL PURCHASING HARBOR FREIGHT TOOLS
"Sigma International General Medical Apparatus, Llc",1,1,2010-09-15,2010-09-15,SIGMA GENERAL MEDICAL APPARATUS
ARJOHUNTLEIGH POLSKA SP. ZO.O. UI. KS. WAWRZYNIAKA 2 KOMORNIKI POZNAN Poland,1,1,2014-06-10,2014-06-10,ARJOHUNTLEIGH POLSKA SP ZO O UI KS WAWRZYNIAKA 2 KOMORNIKI POZNAN POLAND
Sigma,1,1,2012-04-23,2012-04-23,SIGMA
"Sight Sciences, Inc.",1,1,2022-03-23,2022-03-23,SIGHT SCIENCES
Sierra Scientific Instruments Inc,1,1,2011-10-12,2011-10-12,SIERRA SCIENTIFIC INSTRUMENTS
APN Health LLC,1,1,2023-11-07,2023-11-07,APN HEALTH
Cerenovus Inc,1,1,2025-10-02,2025-10-02,CERENOVUS
"Siemens Medical Solutions, Oncology Care Systems, 4040 Nelson Ave., Concord, CA 94510
 4040 Nelson Ave
 Concord CA 94520-1200",1,1,2010-08-13,2010-08-13,SIEMENS MEDICAL SOLUTIONS ONCOLOGY CARE SYSTEMS 4040 NELSON AVE CONCORD CA 94510 4040 NELSON AVE CONCORD CA 94520 1200
"Zien Medical Technologies, Inc",1,1,2015-08-18,2015-08-18,ZIEN MEDICAL TECHNOLOGIES
"Siemens Medical Solutions USA, Inc., Concord, CA 
 4040 Nelson Ave
 Concord CA 94520-1200",1,1,2010-12-03,2010-12-03,SIEMENS MEDICAL SOLUTIONS CONCORD CA 4040 NELSON AVE CONCORD CA 94520 1200
Chad Therapeutics Inc,1,1,2005-03-25,2005-03-25,CHAD THERAPEUTICS
Chalgren Enterprises Inc,1,1,2007-04-12,2007-04-12,CHALGREN ENTERPRISES
"Zimmer Austin, Inc",1,1,2004-12-17,2004-12-17,ZIMMER AUSTIN
"Siemens Medical Solutions USA, INC",1,1,2017-08-22,2017-08-22,SIEMENS MEDICAL SOLUTIONS
AMTEC SALES Inc,1,1,2021-08-12,2021-08-12,AMTEC SALES
"Silhouette Lift, Inc.",1,1,2015-07-02,2015-07-02,SILHOUETTE LIFT
Silkprousa LLC,1,1,2024-05-20,2024-05-20,SILKPROUSA
"Siemens Hearing Instruments, Inc",1,1,2005-07-01,2005-07-01,SIEMENS HEARING INSTRUMENTS
Silver Star Brands,1,1,2014-10-10,2014-10-10,SILVER STAR BRANDS
"Catheter Connections, Inc.",1,1,2014-08-05,2014-08-05,CATHETER CONNECTIONS
"Smith & Nephew Orthopaedics Ltd. (Aurora) Aurora, Spa Park Harrison Way Leamington Spa United Kingdom",1,1,2021-07-14,2021-07-14,SMITH AND NEPHEW ORTHOPAEDICS AURORA AURORA PARK HARRISON WAY LEAMINGTON UNITED KINGDOM
Smith & Nephew Orthopaedics AG Schachenallee 29 Aarau Switzerland,1,1,2020-07-22,2020-07-22,SMITH AND NEPHEW ORTHOPAEDICS SCHACHENALLEE 29 AARAU SWITZERLAND
"ASTRA, LLC",1,1,2019-04-25,2019-04-25,ASTRA
"Zeppessis Reprocessing, LLC",1,1,2013-08-16,2013-08-16,ZEPPESSIS REPROCESSING
Ceg Enterprises Llc,1,1,2016-04-05,2016-04-05,CEG ENTERPRISES
Zest Anchors Inc,1,1,2008-04-09,2008-04-09,ZEST ANCHORS
Celera Corporation,1,1,2013-07-12,2013-07-12,CELERA
Small Bone Innovations,1,1,2014-05-19,2014-05-19,SMALL BONE INNOVATIONS
"Boston Scientific Cupertino, Corporation",1,1,2006-05-15,2006-05-15,BOSTON SCIENTIFIC CUPERTINO
"ASI Medical, Inc.",1,1,2013-11-05,2013-11-05,ASI MEDICAL
Sleep Modus,1,1,2010-09-15,2010-09-15,SLEEP MODUS
"AS Software, Inc.",1,1,2018-09-20,2018-09-20,SOFTWARE
Cellex,1,1,2021-03-01,2021-03-01,CELLEX
Sky Medical Supplies and Equipments LLC,1,1,2021-01-19,2021-01-19,SKY MEDICAL SUPPLIES AND EQUIPMENTS
"Celsion Corporation, Inc.",1,1,2006-03-22,2006-03-22,CELSION
Celsus Laboratories Inc,1,1,2008-03-31,2008-03-31,CELSUS LABORATORIES
Skeletal Dynamics,1,1,2014-10-16,2014-10-16,SKELETAL DYNAMICS
Centerline Biomedical Inc,1,1,2025-04-11,2025-04-11,CENTERLINE BIOMEDICAL
"Centerpulse Orthopedics, Inc",1,1,2003-09-30,2003-09-30,CENTERPULSE ORTHOPEDICS
Simmler Inc,1,1,2002-12-12,2002-12-12,SIMMLER
"AMO Puerto Rico Manufacturing, Inc. Rd #",1,1,2026-02-19,2026-02-19,AMO PUERTO RICO MANUFACTURING RD
"Chicago X-Ray Systems, Inc.",1,1,2012-07-03,2012-07-03,CHICAGO X RAY SYSTEMS
ACTIM OY Klovinpellontie 3 Espoo Finland,1,1,2023-11-23,2023-11-23,ACTIM KLOVINPELLONTIE 3 ESPOO FINLAND
Clariance Inc,1,1,2019-07-01,2019-07-01,CLARIANCE
AGILENT TECHNOLOGIES INC./US,1,1,2023-02-17,2023-02-17,AGILENT TECHNOLOGIES
Sensory Medical Inc,1,1,2022-03-14,2022-03-14,SENSORY MEDICAL
"Senseonics, Inc.",1,1,2019-09-18,2019-09-18,SENSEONICS
Clariance-SAS 18 Rue Robespierre Beaurains France,1,1,2026-02-20,2026-02-20,CLARIANCE SAS 18 RUE ROBESPIERRE BEAURAINS FRANCE
Clarity Diagnostics Llc,1,1,2018-06-22,2018-06-22,CLARITY DIAGNOSTICS
SenTec AG Ringstrasse,1,1,2015-03-25,2015-03-25,SENTEC RINGSTRASSE
Selectivemed Components Inc,1,1,2005-03-15,2005-03-15,SELECTIVEMED COMPONENTS
"Clarus Medical, Llc",1,1,2021-07-27,2021-07-27,CLARUS MEDICAL
Sekisui Diagnostics LLC,1,1,2013-09-16,2013-09-16,SEKISUI DIAGNOSTICS
Seiler Instr. & Mfg. Co. Inc.,1,1,2017-01-01,2017-01-01,SEILER INSTR AND MFG
"Sedecal USA, Inc",1,1,2003-10-27,2003-10-27,SEDECAL
"Clinical Diagnostic Solutions, Inc.",1,1,2020-01-02,2020-01-02,CLINICAL DIAGNOSTIC SOLUTIONS
Clinical Diagnostic Systems,1,1,2018-01-11,2018-01-11,CLINICAL DIAGNOSTIC SYSTEMS
Zimmer Manufacturing B.V.,1,1,2014-11-21,2014-11-21,ZIMMER MANUFACTURING B V
Clinician's Choice Dental Products Inc.,1,1,2022-03-18,2022-03-18,CLINICIAN S CHOICE DENTAL PRODUCTS
Seca Hammer Steindamm 9-25 Hamburg Germany,1,1,2019-06-19,2019-06-19,SECA HAMMER STEINDAMM 9 25 HAMBURG GERMANY
"Sebia, Inc.",1,1,2006-08-29,2006-08-29,SEBIA
"ACUTE Innovations, LLC",1,1,2013-10-30,2013-10-30,ACUTE INNOVATIONS
SeaSpine Inc,1,1,2014-05-21,2014-05-21,SEASPINE
"Coapt Systems, Inc.",1,0,2003-05-23,2003-05-23,COAPT SYSTEMS
Codan US Corporation,1,1,2019-09-12,2019-09-12,CODAN
"Sensus Healthcare, Inc.",1,1,2023-02-10,2023-02-10,SENSUS HEALTHCARE
Sentinel CH SPA Via Robert Koch,1,1,2017-05-22,2017-05-22,SENTINEL CH VIA ROBERT KOCH
AMF Support Surfaces Inc,1,1,2005-01-27,2005-01-27,AMF SUPPORT SURFACES
Cisco Systems Inc,1,1,2012-07-23,2012-07-23,CISCO SYSTEMS
"Shockwave Medical, Inc.",1,1,2018-07-18,2018-07-18,SHOCKWAVE MEDICAL
China Daheng Group Inc. # A9 Shangdi Xinxilu Haidian District Beijing China,1,1,2013-07-15,2013-07-15,CHINA DAHENG A9 SHANGDI XINXILU HAIDIAN DISTRICT BEIJING CHINA
Chiu Technical Corp,1,1,2007-11-09,2007-11-09,CHIU TECHNICAL
"ShinChang Medical Co., Ltd. 144 1gongdan-Ro Gumi Korea (the Republic of)",1,1,2018-08-24,2018-08-24,SHINCHANG MEDICAL 144 1GONGDAN RO GUMI KOREA REPUBLIC OF
"AMEDA, INC.",1,1,2017-07-10,2017-07-10,AMEDA
Cincinnati Sub-Zero Products,1,1,2004-11-05,2004-11-05,CINCINNATI SUB ZERO PRODUCTS
"Shelhigh, Inc.",1,1,2006-01-18,2006-01-18,SHELHIGH
Shelhigh Inc,1,1,2003-12-19,2003-12-19,SHELHIGH
"Sheffield Pharmaceuticals, LLC",1,1,2015-04-27,2015-04-27,SHEFFIELD PHARMACEUTICALS
Sheathing Technologies Inc,1,1,2025-11-17,2025-11-17,SHEATHING TECHNOLOGIES
Sharp Medical Products,1,1,2021-02-08,2021-02-08,SHARP MEDICAL PRODUCTS
Cincinnati Sub-Zero Products LLC,1,1,2017-11-27,2017-11-27,CINCINNATI SUB ZERO PRODUCTS
Circadiance LLC,1,1,2017-05-01,2017-05-01,CIRCADIANCE
Circulatory Technology Inc.,1,1,2021-04-27,2021-04-27,CIRCULATORY TECHNOLOGY
"Sgarlato Med, LLC",1,1,2009-03-01,2009-03-01,SGARLATO MED
"Seradyn, Inc.",1,1,2007-12-20,2007-12-20,SERADYN
Sequent Medical Inc,1,1,2016-09-23,2016-09-23,SEQUENT MEDICAL
Sequal Technologies Inc,1,1,2009-10-01,2009-10-01,SEQUAL TECHNOLOGIES
"Separation Technology, Inc.",1,1,2013-03-13,2013-03-13,SEPARATION TECHNOLOGY
SentreHeart Inc,1,1,2016-09-29,2016-09-29,SENTREHEART
Sentinel CH SpA Via Robert Koch 2 Milano Italy,1,1,2015-09-22,2015-09-22,SENTINEL CH VIA ROBERT KOCH 2 MILANO ITALY
Boston Scientific Marlbourgh,1,1,2005-07-28,2005-07-28,BOSTON SCIENTIFIC MARLBOURGH
"Acorn Stairlifts, Inc",1,1,2016-04-20,2016-04-20,ACORN STAIRLIFTS
Acera Surgical Inc,1,1,2022-03-21,2022-03-21,ACERA SURGICAL
"Ascom US, INC.",1,1,2015-12-10,2015-12-10,ASCOM
