firm_name_fda,normalized_name,source,n_records,match_status,n_gvkey_candidates,gvkey,company_name_compustat,sic,costat,cik,cross_entity_family
"Illumina, Inc.",ILLUMINA,part806_recall,6,out_of_industry,,138205.0,ILLUMINA INC,3826.0,,,
"HILL-ROM CO, INC",HILL ROM,part803_maude,6,out_of_industry,,5639.0,HILL-ROM HOLDINGS INC,2590.0,,,
HILL ROM INC.,HILL ROM,part803_maude,6,out_of_industry,,5639.0,HILL-ROM HOLDINGS INC,2590.0,,,
FUJIFILM CORP.,FUJIFILM,part803_maude,6,out_of_industry,,4925.0,FUJIFILM HLDGS CORP,3861.0,,,
"AGILENT TECHNOLOGIES, GMBH",AGILENT TECHNOLOGIES,part803_maude,6,out_of_industry,,126554.0,AGILENT TECHNOLOGIES INC,3826.0,,,
CRAFTMATIC INDUSTRIES,CRAFTMATIC INDUSTRIES,part803_maude,6,out_of_industry,,12737.0,CRAFTMATIC INDUSTRIES INC,2510.0,,,
"CHURCH & DWIGHT CO.,INC",CHURCH AND DWIGHT,part803_maude,6,out_of_industry,,3026.0,CHURCH & DWIGHT INC,2840.0,,,
Picis Inc.,PICIS,part806_recall,6,out_of_industry,,176273.0,PICIS INC -REDH,7373.0,,,
MCKESSON CORPORATION,MCKESSON,part803_maude,6,out_of_industry,,7171.0,MCKESSON CORP,5122.0,,,
CARDINAL  HEALTH,CARDINAL HEALTH,part803_maude,5,out_of_industry,,2751.0,CARDINAL HEALTH INC,5122.0,,,
Colgate Palmolive Company,COLGATE PALMOLIVE,part806_recall,5,out_of_industry,,3170.0,COLGATE-PALMOLIVE CO,2844.0,,,
Reckitt Benckiser LLC,RECKITT BENCKISER,part806_recall,5,out_of_industry,,221858.0,RECKITT BENCKISER GROUP PLC,2840.0,,,
HILL-ROM CO. INC.,HILL ROM,part803_maude,5,out_of_industry,,5639.0,HILL-ROM HOLDINGS INC,2590.0,,,
"HILL ROM CO., INC.",HILL ROM,part803_maude,5,out_of_industry,,5639.0,HILL-ROM HOLDINGS INC,2590.0,,,
MEDLINE INDUSTRIES HOLDING LP,MEDLINE INDUSTRIES,part803_maude,5,out_of_industry,,7224.0,MEDLINE INDUSTRIES INC,2300.0,,,
