sponsor_norm,gvkey,map_source,map_score,compustat_conm,compustat_tic,cik,permno
zogenix,179686,resolved,100.0,ZOGENIX INC,ZGNX,0001375151,12413
zealand pharma,295917,resolved,100.0,ZEALAND PHARMA AS,ZEAL,0001674988,16914
zalicus,162497,resolved,100.0,ZALICUS INC,ZLCS,,90968
zai lab hong kong,032334,resolved,100.0,ZAI LAB LTD,ZLAB,0001704292,16938
zafgen,020742,resolved,100.0,ZAFGEN INC,ZFGN,,14711
ym biosciences,149065,resolved,100.0,YM BIOSCIENCES INC,YMI,0001178347,90397
y mabs therapeutics,034135,resolved,100.0,Y MABS THERAPEUTICS INC,YMAB,0001722964,18133
xenoport,162809,resolved,100.0,XENOPORT INC,XNPT,0001130591,90748
xenon pharmaceuticals,021744,resolved,100.0,XENON PHARMACEUTICALS INC,XENE,0001582313,15089
xencor,018938,resolved,100.0,XENCOR INC,XNCR,0001326732,14359
x4 pharmaceuticals,034929,resolved,100.0,,,,
windtree therapeutics,061140,resolved,100.0,WINDTREE THERAPEUTICS INC,WINT,0000946486,82156
vtv therapeutics,024515,resolved,100.0,VTV THERAPEUTICS INC,VTVT,0001641489,15542
vivus,030007,resolved,100.0,VIVUS INC,VVUSQ,0000881524,80485
vital therapies,018936,resolved,100.0,VITAL THERAPIES INC,VTL,,14615
viracta therapeutics,023813,resolved,100.0,VIRACTA THERAPEUTICS INC,VIRX,0001061027,90907
vanda pharmaceuticals,166435,resolved,100.0,VANDA PHARMACEUTICALS INC,VNDA,0001347178,91186
vasogen,108718,resolved,100.0,VASOGEN INC,VSGN,0001042018,87448
vaxcyte,036600,resolved,100.0,VAXCYTE INC,PCVX,0001649094,19484
vectivbio,038585,resolved,100.0,VECTIVBIO HOLDING AG,VECT,0001836379,21112
vera therapeutics,038782,resolved,100.0,VERA THERAPEUTICS INC,VERA,0001831828,21342
taysha gene therapies,037013,resolved,100.0,TAYSHA GENE THERPS INC,TSHA,0001806310,19847
verastem,194255,resolved,100.0,VERASTEM INC,VSTM,0001526119,13202
verona pharma,284453,resolved,100.0,VERONA PHARMA PLC,VRNA,0001657312,16684
vertex pharmaceuticals,024083,resolved,100.0,VERTEX INC,VERX,0001806837,19506
viatris innovation,007637,resolved,100.0,VIATRIS INC,VTRS,0001792044,20057
vical,027920,resolved,100.0,VICAL INC,VICL,,79022
viking therapeutics,021032,resolved,100.0,VIKING THERAPEUTICS INC,VKTX,0001607678,15303
vir biotechnology,035638,resolved,100.0,VIR BIOTECHNOLOGY INC,VIR,0001706431,19032
vericel,064334,resolved,100.0,VERICEL CORP,VCEL,0000887359,84511
tarsus pharmaceuticals,037082,resolved,100.0,TARSUS PHARMACEUTI INC,TARS,0001819790,19995
targanta therapeutics,178547,resolved,100.0,TARGANTA THERAPEUTICS CORP,TARG,0001398161,92316
targacept,162958,resolved,100.0,TARGACEPT INC,TRGT,,91184
savara,031177,resolved,100.0,SAVARA INC,SVRA,0001160308,90101
satsuma pharmaceuticals,035601,resolved,100.0,SATSUMA PHARMACEUTICALS INC,STSA,0001692830,18960
sarepta therapeutics,064857,resolved,100.0,SAREPTA THERAPEUTICS INC,SRPT,0000873303,85002
sanofi pasteur a sanofi,101204,resolved,100.0,SANOFI,SNY,0001121404,89475
johnson and johnson vision care,006266,resolved,100.0,JOHNSON & JOHNSON,JNJ,0000200406,22111
sagimet biosciences,038790,resolved,100.0,SAGIMET BIOSCIENCES INC,SGMT,0001400118,24078
sage therapeutics,020943,resolved,100.0,SAGE THERAPEUTICS INC,SAGE,0001597553,14828
rvl pharmaceuticals,034160,resolved,100.0,RVL PHARMACEUTICALS PLC,RVLPQ,0001739426,18209
rocket pharmaceuticals,032908,resolved,100.0,ROCKET PHARMACEUTICALS INC,RCKT,0001281895,15221
ritter pharmaceuticals,023422,resolved,100.0,RITTER PHARMACEUTICALS INC,RTTR,,15436
rigel pharmaceuticals,133468,resolved,100.0,RIGEL PHARMACEUTICALS INC,RIGL,0001034842,88810
rhythm pharmaceuticals,021601,resolved,100.0,RHYTHM PHARMACEUTICLS,RYTM,0001649904,17000
rexahn pharmaceuticals,163931,resolved,100.0,REXAHN PHARMACEUTICALS INC,REXN,,92665
revolution medicines,036083,resolved,100.0,REVOLUTION MEDICINES INC,RVMD,0001628171,19201
reviva pharmaceuticals,037534,resolved,100.0,REVIVA PHARMACEUTICALS HOLD,RVPH,0001742927,18215
revance therapeutics,019471,resolved,100.0,REVANCE THERAPEUTICS INC,RVNC,0001479290,14467
restorbio,032899,resolved,100.0,RESTORBIO INC,TORC,,17272
prothena biosciences,016745,resolved,100.0,PROTHENA CORPORATION PLC,PRTA,0001559053,13706
ptc therapeutics,018699,resolved,100.0,PTC INC,PTC,0000857005,75912
puma biotechnology,170945,resolved,100.0,PUMA BIOTECHNOLOGY INC,PBYI,0001401667,13621
ra pharmaceuticals,028470,resolved,100.0,RA PHARMACEUTICALS INC,RARX,0001481512,16398
radius health,170520,resolved,100.0,RADIUS HEALTH INC,RDUS.1,0001428522,14707
recursion pharmaceuticals,038474,resolved,98.03921568627452,RECURSION PHARMA INC,RXRX,0001601830,20898
savient pharmaceuticals,002222,resolved,100.0,SAVIENT PHARMACEUTICALS INC,SVNTQ,0000722104,18033
